#NAME?,DIA US Index,CNYUSD Curncy,EURUSD Curncy,GBTC US Equity,ETHE US Equity,LTCN US Equity,CCRIXRP Index,Lumber prices,WTI Oil
DATES,"px_last(dates=range(2015-01-01,2021-12-31),fill=PREV)","px_last(dates=range(2015-01-01,2021-12-31),fill=PREV)","px_last(dates=range(2015-01-01,2021-12-31),fill=PREV)","px_last(dates=range(2015-01-01,2021-12-31),fill=PREV)","px_last(dates=range(2015-01-01,2021-12-31),fill=PREV)","px_last(dates=range(2015-01-01,2021-12-31),fill=PREV)","px_last(dates=range(2015-01-01,2021-12-31),fill=PREV)","px_last(dates=range(2015-01-01,2021-12-31),fill=PREV)","px_last(dates=range(2015-01-01,2021-12-31),fill=PREV)"
07/06/2021,346.59,0.15631,1.219,29.5665,26.75,276.5,0.9494,319.8,25.634
08/06/2021,346.34,0.15624,1.2173,27.45,24.855,221.55,0.8274,319.8,25.634
09/06/2021,344.79,0.15656,1.218,30.1,24.9,216.02,0.8645,319.8,25.634
10/06/2021,344.98,0.15642,1.217,30.4,24.06,189,0.873,319.8,25.634
11/06/2021,345.12,0.15628,1.2109,30.78,23.077,169,0.8683,319.8,25.634
14/06/2021,344.3,0.15628,1.212,33.08,24.45,169.99,0.8867,319.8,25.634
15/06/2021,343.41,0.1561,1.2126,33.2335,24.14,154,0.8692,319.8,25.634
16/06/2021,340.76,0.1563,1.1995,32.05,23.19,137.5,0.8388,319.8,25.634
17/06/2021,338.65,0.15508,1.1907,31.26,22.35,122.5,0.8473,319.8,25.634
18/06/2021,332.96,0.15496,1.1864,29.8,20.66,112,0.8049,319.8,25.634
21/06/2021,338.78,0.15463,1.1919,27.7,18.78,97.5,0.6818,319.8,25.634
22/06/2021,339.45,0.15429,1.194,28.01,18.395,115,0.5324,319.8,25.634
23/06/2021,338.78,0.15446,1.1926,27.79,18.73,127.09,0.6402,319.8,25.634
24/06/2021,341.98,0.15451,1.1932,29.61,19.73,105,0.6497,319.8,25.634
25/06/2021,344.45,0.15489,1.1935,27.68,18.1699,91.65,0.6424,319.8,25.634
28/06/2021,342.8,0.15488,1.1925,29.25,20.65,86.1,0.633,319.8,25.634
29/06/2021,342.86,0.15471,1.1897,31.13,22,88.1,0.7218,319.8,25.634
30/06/2021,344.95,0.15487,1.1858,29.81,22.37,82.72,0.6695,319.8,25.634
01/07/2021,346.36,0.15458,1.185,28.47,20.93,87.52,0.659,319.8,25.634
02/07/2021,347.94,0.15449,1.1865,28.58,20.82,84,0.6462,319.8,25.634
05/07/2021,347.94,0.1547,1.1864,28.58,20.82,84,0.6577,319.8,25.634
06/07/2021,345.82,0.15434,1.1824,28.72,22.67,83.5,0.6647,319.8,25.634
07/07/2021,346.92,0.15449,1.179,28.75,23.01,84.99,0.6682,319.8,25.634
08/07/2021,344.38,0.15407,1.1845,27.4,20.74,77.7,0.6207,319.8,25.634
